站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20220903013410,16.0,1006.6,47,326,3.1,1.3,10258.1
58102,20220903013410,14.0,1017.1,87,237,13.7,0.1,10120.7
58118,20220903013410,13.6,1004.4,37,277,14.7,0.6,10358.1
58122,20220903013410,11.6,1021.6,55,211,2.8,1.0,10057.3
58203,20220903013410,34.7,1013.0,80,118,12.2,0.9,10252.0
58215,20220903013410,28.6,1002.7,49,201,7.0,0.6,10289.7
58221,20220903013410,14.5,1013.7,28,173,5.4,0.0,10092.9
58225,20220903013410,16.5,1009.0,85,108,11.6,0.6,10195.2
58236,20220903013410,34.3,1017.8,67,70,3.4,1.0,10183.0
58311,20220903013410,0.0,1014.0,46,241,6.4,0.5,10091.2
58314,20220903013410,4.4,1019.7,47,63,4.1,0.5,10366.0
58319,20220903013410,16.7,1007.9,33,78,5.9,0.0,10111.7
58321,20220903013410,2.7,1021.1,70,154,14.5,0.4,10334.8
58326,20220903013410,10.7,1003.1,58,87,11.1,0.6,10494.9
58336,20220903013410,11.0,1025.4,16,62,13.1,0.5,10310.5
58338,20220903013410,27.0,1011.4,76,192,12.8,1.1,10068.9
58414,20220903013410,15.9,1005.0,62,130,8.1,0.3,10421.2
58419,20220903013410,15.2,1010.4,14,59,0.5,1.0,10468.2
58424,20220903013410,27.6,1007.1,48,186,7.5,1.4,10362.7
58429,20220903013410,23.2,1008.3,68,214,11.7,1.0,10267.4
58436,20220903013410,17.7,1002.1,82,147,12.8,0.7,10058.7
58437,20220903013410,28.7,1021.4,7,330,4.5,1.5,10098.9
58520,20220903013410,5.0,1024.1,97,308,11.9,1.1,10211.9
58531,20220903013410,2.0,1003.4,77,63,8.7,1.5,10210.8
54406,20220903013410,15.6,1015.4,49,172,4.0,0.1,10180.8
54416,20220903013410,2.4,1000.2,2,39,4.8,0.7,10125.2
54511,20220903013410,23.1,1012.8,72,225,2.1,1.5,10184.9
58725,20220903013410,17.9,1022.9,34,116,7.3,1.3,10047.4
58730,20220903013410,29.3,1008.1,82,357,14.5,1.3,10336.5
58731,20220903013410,20.7,1021.6,14,337,8.5,1.4,10014.0
58734,20220903013410,11.0,1017.3,11,69,0.3,0.1,10116.2
58737,20220903013410,5.2,1002.5,42,186,1.6,0.2,10447.8
58744,20220903013410,28.5,1001.2,95,182,9.5,1.2,10482.8
58754,20220903013410,5.2,1014.2,94,259,12.0,0.6,10254.3
58818,20220903013410,22.4,1006.7,25,242,14.7,1.4,10170.6
58820,20220903013410,6.3,1006.7,99,286,6.9,1.1,10131.3
58834,20220903013410,3.8,1021.2,100,279,10.6,0.1,10320.1
58837,20220903013410,27.0,1007.3,6,223,3.3,0.7,10376.2
58843,20220903013410,9.9,1004.2,63,359,13.0,0.3,10372.1
58846,20220903013410,28.7,1020.0,26,232,14.5,1.5,10080.1
58847,20220903013410,27.5,1017.0,56,314,8.4,1.4,10276.5
58911,20220903013410,29.9,1010.1,19,324,7.5,0.8,10241.2
58918,20220903013410,1.6,1009.8,15,43,3.0,1.3,10090.5
58921,20220903013410,18.8,1013.6,29,242,9.1,1.3,10106.5
58926,20220903013410,19.5,1022.2,85,75,9.4,0.7,10336.5
58927,20220903013410,33.4,1024.2,95,309,5.1,0.4,10036.7
58931,20220903013410,31.9,1006.3,55,38,11.1,0.4,10217.6
58933,20220903013410,30.2,1025.7,29,166,1.3,0.9,10201.4
58936,20220903013410,21.7,1005.0,27,205,13.9,0.3,10238.0
58944,20220903013410,2.9,1000.9,62,292,0.2,0.3,10464.9
59113,20220903013410,10.5,1014.5,100,343,10.8,0.9,10391.2
59126,20220903013410,10.7,1024.4,75,128,12.3,0.3,10285.4
59133,20220903013410,26.7,1021.7,28,196,7.4,0.9,10282.9
59134,20220903013410,21.7,1000.1,95,289,2.1,0.7,10365.4
59321,20220903013410,20.7,1019.0,48,60,13.7,0.2,10312.7
52323,20220903013410,19.5,1006.2,37,239,12.8,0.6,10218.9
52418,20220903013410,21.8,1001.2,67,170,12.9,1.3,10068.2
52424,20220903013410,11.2,1024.8,33,102,6.5,1.0,10391.6
52436,20220903013410,30.8,1013.0,86,153,5.2,1.2,10036.6
52446,20220903013410,30.9,1011.5,57,359,13.2,0.0,10461.0
52447,20220903013410,23.4,1001.4,51,174,7.2,1.2,10138.3
52533,20220903013410,18.1,1017.4,96,21,10.7,1.5,10312.6
52546,20220903013410,32.3,1023.2,8,332,4.4,0.8,10245.3
52652,20220903013410,7.9,1012.8,19,278,11.0,1.0,10140.8
52661,20220903013410,19.3,1004.8,89,337,2.5,1.0,10394.1
52674,20220903013410,17.3,1024.1,81,102,6.5,1.5,10438.2
52679,20220903013410,4.4,1009.1,100,321,6.3,1.0,10448.4
52681,20220903013410,24.6,1008.2,40,8,8.2,0.5,10152.9
52787,20220903013410,31.0,1020.6,77,150,10.4,0.8,10132.7
52797,20220903013410,25.9,1003.6,24,180,6.2,1.5,10455.0
52884,20220903013410,15.5,1022.0,52,254,3.8,0.6,10278.9
52895,20220903013410,19.5,1019.1,21,252,11.3,1.5,10376.8
52983,20220903013410,25.6,1014.9,21,51,0.5,0.8,10187.5
52984,20220903013410,5.6,1013.5,81,163,12.1,0.7,10051.8
52986,20220903013410,5.8,1008.3,11,123,4.0,0.1,10421.2
52996,20220903013410,2.7,1023.1,77,51,12.7,0.5,10421.4
53821,20220903013410,8.8,1016.1,18,270,2.7,0.1,10046.5
53915,20220903013410,13.1,1003.2,15,134,0.2,0.3,10227.2
53923,20220903013410,25.7,1000.0,65,322,11.1,1.1,10017.6
56074,20220903013410,28.9,1025.2,48,342,10.8,0.7,10397.8
56080,20220903013410,22.4,1026.2,62,122,3.1,0.6,10282.5
56093,20220903013410,28.0,1013.4,7,113,5.7,1.2,10380.6
56096,20220903013410,3.0,1024.2,29,249,12.0,0.0,10027.7
57014,20220903013410,30.3,1005.8,30,104,1.6,0.8,10411.8
57996,20220903013410,2.5,1014.3,33,194,2.6,0.1,10147.4
59072,20220903013410,29.2,1012.4,69,39,4.5,1.4,10440.0
59082,20220903013410,33.1,1016.7,52,236,1.6,0.7,10008.9
59087,20220903013410,22.9,1011.6,10,359,9.9,1.0,10376.1
59088,20220903013410,17.3,1018.8,23,224,2.1,0.6,10475.6
59096,20220903013410,9.3,1020.5,7,50,12.6,1.0,10473.1
59097,20220903013410,20.7,1020.1,43,296,0.0,1.0,10150.2
59107,20220903013410,10.9,1021.7,2,355,10.5,1.0,10221.5
59116,20220903013410,9.2,1020.7,83,184,12.0,0.9,10326.4
59117,20220903013410,15.8,1012.1,79,285,6.3,0.8,10046.8
59271,20220903013410,7.3,1006.6,39,135,1.4,0.4,10470.1
59278,20220903013410,0.0,1003.3,88,262,10.8,0.4,10323.4
59280,20220903013410,25.3,1024.8,17,334,5.7,0.6,10162.3
59287,20220903013410,15.7,1007.5,20,34,1.7,0.2,10001.0
59289,20220903013410,21.0,1012.6,28,14,14.7,0.9,10302.4
59293,20220903013410,25.8,1014.3,85,249,2.6,1.5,10392.7
59294,20220903013410,21.0,1015.3,54,302,6.8,1.3,10457.3
59298,20220903013410,19.2,1001.5,80,176,7.5,1.1,10349.2
59303,20220903013410,1.8,1007.1,2,209,8.7,0.1,10315.2
59304,20220903013410,23.6,1006.1,97,350,4.4,0.8,10143.7
59306,20220903013410,21.0,1024.0,97,121,12.0,0.9,10426.7
59310,20220903013410,17.7,1013.1,45,187,4.3,1.5,10372.1
59316,20220903013410,4.7,1020.9,58,345,12.5,1.4,10060.6
59317,20220903013410,20.8,1003.4,2,12,8.6,1.3,10009.3
59324,20220903013410,20.3,1023.4,87,215,3.4,1.0,10424.6
59456,20220903013410,6.7,1000.4,33,35,5.5,0.4,10451.3
59462,20220903013410,14.1,1025.2,90,260,7.6,1.4,10051.0
59478,20220903013410,10.7,1021.2,84,61,14.6,0.0,10129.2
59485,20220903013410,0.5,1023.5,80,137,11.4,0.6,10405.2
59488,20220903013410,25.4,1010.5,94,205,13.6,1.0,10496.8
59493,20220903013410,31.5,1013.4,68,213,0.8,0.8,10010.6
59501,20220903013410,34.0,1006.5,4,31,1.2,1.5,10190.1
59658,20220903013410,22.2,1018.0,38,255,1.3,0.0,10408.3
59663,20220903013410,28.0,1011.1,89,238,3.9,1.0,10123.3
59664,20220903013410,8.8,1015.5,88,179,11.6,1.0,10008.1
59673,20220903013410,18.5,1006.1,31,262,6.6,1.0,10231.2
59754,20220903013410,22.3,1006.0,66,310,0.2,1.4,10403.7
57947,20220903013410,13.8,1019.0,54,165,0.7,0.6,10187.6
57957,20220903013410,1.3,1023.8,11,63,13.8,0.1,10166.1
57958,20220903013410,32.1,1004.2,8,11,11.5,1.3,10363.7
59021,20220903013410,7.7,1005.0,99,183,10.0,0.7,10336.5
59023,20220903013410,17.0,1012.2,44,110,9.0,0.0,10108.3
59027,20220903013410,20.9,1015.0,91,157,1.8,1.2,10300.7
59037,20220903013410,28.0,1010.0,64,177,10.4,0.2,10368.7
59046,20220903013410,1.0,1008.1,47,114,13.7,1.2,10177.6
59058,20220903013410,4.6,1026.2,75,144,13.1,0.9,10124.0
59065,20220903013410,19.1,1019.1,35,310,5.8,0.9,10282.8
59209,20220903013410,5.7,1004.4,89,209,13.1,0.7,10490.7
59211,20220903013410,17.0,1000.7,8,198,8.8,1.3,10215.4
59218,20220903013410,25.9,1000.4,82,79,6.3,0.0,10318.4
59228,20220903013410,10.8,1005.5,83,236,9.3,0.9,10237.8
59242,20220903013410,13.5,1017.6,59,235,12.7,1.4,10153.3
59254,20220903013410,30.8,1021.8,84,208,8.0,1.4,10143.0
59265,20220903013410,29.9,1023.5,72,198,4.6,0.9,10051.7
59417,20220903013410,21.8,1024.1,34,297,3.8,1.1,10495.2
59431,20220903013410,24.4,1022.1,65,298,3.4,1.5,10305.7
59446,20220903013410,27.1,1014.8,50,345,12.7,0.0,10444.8
59453,20220903013410,17.8,1003.9,85,0,7.1,0.8,10275.8
59626,20220903013410,22.1,1018.8,49,32,7.6,0.1,10451.4
59631,20220903013410,23.7,1023.6,15,290,3.7,1.5,10150.7
59632,20220903013410,14.2,1012.6,66,278,13.1,0.3,10245.7
59644,20220903013410,33.9,1003.9,41,120,12.6,0.1,10151.8
59647,20220903013410,26.4,1010.5,32,321,9.8,0.4,10040.8
56691,20220903013410,34.5,1026.0,47,40,11.6,0.9,10128.5
56693,20220903013410,1.1,1024.4,32,180,10.0,0.1,10194.0
56792,20220903013410,1.6,1020.4,86,264,1.5,0.1,10363.3
56793,20220903013410,29.2,1026.2,65,53,8.7,0.0,10474.3
57606,20220903013410,17.3,1000.3,73,201,9.5,1.0,10074.0
57614,20220903013410,11.0,1016.1,46,200,7.5,1.2,10314.9
57625,20220903013410,4.1,1021.7,71,211,14.3,1.5,10346.0
57647,20220903013410,0.3,1011.7,20,194,8.7,1.1,10459.2
57707,20220903013410,7.8,1011.8,67,52,6.1,1.4,10031.3
57710,20220903013410,31.6,1016.3,28,181,9.0,0.4,10066.6
57712,20220903013410,22.9,1021.8,94,17,8.0,1.5,10325.2
57718,20220903013410,32.9,1001.7,16,105,0.6,0.2,10099.2
57722,20220903013410,17.7,1001.1,40,200,10.7,0.9,10188.4
57729,20220903013410,25.2,1018.5,58,17,0.5,0.9,10076.0
57731,20220903013410,1.7,1002.9,44,155,1.2,1.2,10106.9
57741,20220903013410,13.6,1009.5,73,69,12.7,0.7,10411.3
57803,20220903013410,0.3,1003.5,46,9,14.8,0.4,10199.1
57805,20220903013410,6.0,1019.3,34,176,14.0,1.5,10103.7
57806,20220903013410,4.7,1004.5,57,271,4.1,1.1,10119.5
57816,20220903013410,25.0,1022.5,71,161,4.5,0.6,10441.3
57825,20220903013410,21.3,1010.1,77,261,5.8,0.5,10004.2
57827,20220903013410,27.3,1014.0,93,124,5.3,0.5,10297.3
57832,20220903013410,7.1,1002.8,99,280,0.0,1.4,10212.7
57839,20220903013410,33.3,1015.5,95,358,14.7,0.0,10388.2
57840,20220903013410,32.2,1002.4,22,58,14.0,0.9,10259.7
57902,20220903013410,14.3,1010.4,74,128,13.4,1.3,10316.2
57906,20220903013410,21.3,1016.8,66,156,1.3,0.7,10242.9
57907,20220903013410,24.9,1007.9,64,78,7.6,1.3,10011.2
57910,20220903013410,9.2,1004.7,8,117,3.3,0.8,10342.8
57912,20220903013410,3.9,1011.1,19,236,5.7,0.3,10161.2
57916,20220903013410,30.7,1019.6,10,304,10.6,1.0,10168.1
57922,20220903013410,33.9,1016.6,1,327,1.0,1.1,10362.7
57926,20220903013410,28.7,1014.1,54,332,4.5,0.4,10350.6
57932,20220903013410,10.8,1016.9,69,93,2.7,1.4,10177.6
59758,20220903013410,26.8,1008.7,67,269,9.3,0.7,10267.7
59838,20220903013410,27.7,1018.3,38,130,14.6,0.1,10434.6
59845,20220903013410,14.1,1013.0,56,85,2.3,0.9,10309.6
59849,20220903013410,3.5,1012.3,40,168,2.0,1.1,10344.5
59855,20220903013410,12.5,1021.6,85,132,7.8,1.4,10356.1
59948,20220903013410,17.2,1019.5,79,62,3.3,0.7,10484.0
59954,20220903013410,4.2,1009.4,55,298,10.5,0.2,10240.0
59981,20220903013410,10.2,1000.8,46,39,4.6,1.2,10050.5
53399,20220903013410,4.2,1009.8,54,346,3.9,0.5,10031.9
53593,20220903013410,34.3,1008.0,13,92,2.0,1.4,10245.3
53698,20220903013410,25.5,1008.0,64,187,6.4,0.5,10073.3
53798,20220903013410,2.9,1007.9,14,222,5.2,1.4,10277.6
54308,20220903013410,0.7,1005.9,53,29,13.8,0.2,10122.1
54311,20220903013410,4.8,1026.0,87,129,8.7,1.4,10270.8
54401,20220903013410,26.4,1013.4,61,295,5.4,1.1,10446.1
54405,20220903013410,17.6,1002.0,33,340,2.2,1.4,10163.9
54423,20220903013410,28.5,1001.3,96,29,10.3,1.2,10421.8
54429,20220903013410,29.9,1001.1,39,12,10.3,0.0,10192.9
54436,20220903013410,31.4,1018.1,16,110,7.1,1.1,10394.6
54449,20220903013410,29.0,1015.8,73,86,9.0,0.0,10373.3
54518,20220903013410,31.4,1008.6,82,321,1.5,1.3,10258.2
54534,20220903013410,24.5,1025.4,22,283,13.7,1.2,10423.7
54535,20220903013410,34.5,1014.1,10,333,11.5,0.0,10186.6
54539,20220903013410,10.5,1006.1,54,123,0.1,0.1,10006.6
54602,20220903013410,10.3,1004.4,50,166,9.2,1.0,10414.8
54606,20220903013410,17.6,1006.9,22,277,14.0,1.5,10079.8
54618,20220903013410,30.1,1025.5,81,60,14.3,0.5,10182.4
54624,20220903013410,28.2,1000.3,90,16,11.6,0.7,10211.2
54705,20220903013410,7.2,1011.5,23,328,5.6,0.3,10253.8
53898,20220903013410,12.2,1016.5,18,46,1.7,1.1,10281.2
53986,20220903013410,14.5,1020.9,81,157,4.1,1.2,10349.6
57051,20220903013410,26.0,1023.4,11,255,6.4,0.8,10189.5
57067,20220903013410,1.2,1004.5,56,327,6.5,0.1,10466.8
57071,20220903013410,12.9,1006.2,27,53,5.8,1.2,10148.3
57077,20220903013410,0.6,1019.5,20,284,12.1,0.4,10472.8
57083,20220903013410,7.2,1025.5,79,98,1.2,1.3,10309.9
57084,20220903013410,3.2,1010.3,90,279,8.8,1.2,10211.0
57089,20220903013410,25.3,1009.1,19,229,2.8,0.5,10168.6
57091,20220903013410,22.5,1002.6,87,355,12.8,0.5,10140.2
57156,20220903013410,33.3,1026.0,22,223,11.8,1.2,10400.3
57178,20220903013410,30.2,1001.8,60,100,13.6,1.2,10299.3
57181,20220903013410,20.3,1011.6,83,69,7.4,0.0,10415.2
57193,20220903013410,3.8,1007.2,14,173,14.0,0.3,10358.0
57285,20220903013410,20.8,1002.7,62,127,11.4,0.2,10303.2
57290,20220903013410,15.2,1008.6,45,256,2.9,1.1,10236.5
57297,20220903013410,33.9,1022.2,1,351,10.5,1.0,10477.8
58005,20220903013410,3.6,1017.8,85,335,3.2,0.5,10212.9
58111,20220903013410,16.7,1000.6,42,141,5.8,0.6,10479.1
58208,20220903013410,8.9,1019.7,44,89,7.3,1.1,10435.9
50136,20220903013410,3.1,1020.6,55,260,0.3,0.7,10058.6
50246,20220903013410,19.7,1009.9,90,123,12.4,0.1,10077.7
50247,20220903013410,23.8,1002.9,11,52,7.5,0.4,10113.6
50349,20220903013410,11.0,1017.6,87,110,4.3,1.0,10286.7
50353,20220903013410,10.6,1010.1,97,2,6.8,0.7,10307.4
50442,20220903013410,17.7,1024.5,11,246,10.1,1.1,10001.8
50468,20220903013410,30.4,1026.2,60,225,14.9,1.0,10461.8
50557,20220903013410,16.2,1006.3,43,244,3.4,1.3,10419.7
50564,20220903013410,2.5,1003.8,98,239,3.6,0.1,10236.9
50656,20220903013410,0.9,1018.3,20,250,5.8,1.0,10441.2
50658,20220903013410,25.9,1015.9,99,138,0.4,1.3,10096.4
50674,20220903013410,24.0,1014.8,93,159,6.1,1.4,10152.5
50739,20220903013410,25.3,1000.9,70,98,13.4,0.6,10278.3
50742,20220903013410,19.2,1002.2,55,327,1.2,0.1,10390.5
50745,20220903013410,11.3,1002.0,79,253,8.5,0.4,10454.7
50756,20220903013410,15.5,1003.2,99,24,12.3,0.2,10013.6
50758,20220903013410,6.4,1021.8,72,92,10.0,0.0,10464.6
50774,20220903013410,33.9,1025.9,92,277,2.3,0.9,10199.4
50778,20220903013410,24.2,1021.1,47,38,12.6,0.0,10300.7
50788,20220903013410,7.4,1026.2,67,74,14.2,1.2,10141.5
50844,20220903013410,4.6,1014.1,27,261,13.7,1.3,10293.2
50853,20220903013410,27.9,1004.4,49,193,0.0,0.8,10268.5
50854,20220903013410,11.3,1013.9,69,291,6.2,1.0,10259.1
50862,20220903013410,0.1,1022.4,66,354,9.3,1.5,10071.1
50873,20220903013410,14.0,1011.1,60,4,0.4,0.9,10163.2
50877,20220903013410,7.5,1003.9,45,100,7.4,1.2,10190.2
50888,20220903013410,20.9,1011.8,86,60,3.0,0.1,10088.0
50950,20220903013410,3.5,1016.4,85,333,11.0,0.5,10258.5
50953,20220903013410,0.6,1010.6,2,243,7.9,1.2,10125.4
50955,20220903013410,28.1,1019.0,59,157,13.4,1.4,10064.7
50963,20220903013410,29.0,1018.5,64,57,3.9,1.2,10435.0
