站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20220830001204,12.9,1018.0,7,255,0.6,1.4,10338.6
58102,20220830001204,13.0,1016.1,27,122,11.1,0.1,10395.1
58118,20220830001204,11.0,1013.4,8,248,13.9,0.6,10123.8
58122,20220830001204,27.9,1005.4,96,237,9.5,0.2,10417.5
58203,20220830001204,21.9,1019.8,85,151,0.8,1.4,10285.8
58215,20220830001204,16.4,1006.7,87,211,13.5,0.4,10416.2
58221,20220830001204,5.5,1024.6,19,49,5.8,1.0,10241.5
58225,20220830001204,4.1,1020.8,17,66,11.7,1.5,10241.8
58236,20220830001204,9.6,1019.4,92,153,4.2,0.8,10137.3
58311,20220830001204,25.0,1015.8,87,259,10.5,0.5,10046.0
58314,20220830001204,8.9,1001.9,81,351,8.3,1.5,10446.5
58319,20220830001204,3.6,1023.2,91,30,1.5,0.2,10237.3
58321,20220830001204,23.8,1015.8,20,37,9.2,1.1,10219.3
58326,20220830001204,25.8,1008.4,32,101,0.9,0.6,10185.8
58336,20220830001204,25.7,1021.0,85,40,13.6,0.4,10264.1
58338,20220830001204,25.6,1015.0,85,164,4.2,0.2,10029.7
58414,20220830001204,23.8,1017.4,63,234,10.7,0.2,10327.4
58419,20220830001204,21.5,1022.7,67,39,3.8,0.6,10452.7
58424,20220830001204,12.9,1011.0,43,206,6.7,1.4,10313.2
58429,20220830001204,6.6,1003.9,31,287,11.0,1.4,10294.8
58436,20220830001204,20.0,1003.0,51,232,2.4,0.8,10222.4
58437,20220830001204,27.3,1023.3,50,216,9.7,0.8,10478.5
58520,20220830001204,16.0,1002.8,9,137,8.8,1.0,10178.6
58531,20220830001204,5.6,1014.5,83,140,7.5,1.2,10319.4
54406,20220830001204,8.4,1009.1,84,291,1.6,0.5,10363.1
54416,20220830001204,10.1,1015.2,62,95,4.6,1.5,10457.7
54511,20220830001204,6.6,1013.6,39,263,14.9,1.1,10188.5
58725,20220830001204,31.6,1011.4,24,264,3.2,0.5,10049.8
58730,20220830001204,12.0,1008.4,97,186,14.5,0.7,10049.5
58731,20220830001204,4.4,1019.9,94,163,1.1,0.6,10394.9
58734,20220830001204,16.3,1009.9,94,185,0.0,0.8,10337.3
58737,20220830001204,31.8,1001.1,61,40,13.0,1.5,10320.3
58744,20220830001204,31.0,1021.3,94,223,11.2,0.5,10068.6
58754,20220830001204,6.3,1025.2,60,231,8.8,0.0,10294.9
58818,20220830001204,22.9,1016.0,58,51,3.0,0.7,10039.6
58820,20220830001204,21.1,1011.0,9,314,11.6,1.2,10260.8
58834,20220830001204,19.6,1023.0,64,145,14.8,0.8,10311.3
58837,20220830001204,19.5,1022.4,63,249,2.3,0.1,10094.8
58843,20220830001204,25.3,1015.2,20,194,3.7,0.1,10437.7
58846,20220830001204,4.4,1016.2,46,292,1.7,0.5,10116.5
58847,20220830001204,20.6,1013.5,65,355,3.1,1.1,10362.0
58911,20220830001204,2.0,1000.2,90,260,8.8,1.5,10280.1
58918,20220830001204,10.9,1011.6,3,146,0.3,0.9,10125.9
58921,20220830001204,10.1,1020.2,19,92,8.4,1.2,10088.6
58926,20220830001204,25.7,1018.8,7,218,9.9,1.4,10019.0
58927,20220830001204,29.6,1010.2,75,181,14.1,1.5,10425.3
58931,20220830001204,5.6,1022.3,16,183,9.4,1.3,10492.1
58933,20220830001204,19.9,1005.3,64,272,4.5,0.1,10303.4
58936,20220830001204,32.3,1020.6,73,245,2.7,1.0,10150.2
58944,20220830001204,34.9,1014.2,99,330,10.6,0.0,10224.3
59113,20220830001204,29.6,1009.3,78,350,0.8,0.1,10098.7
59126,20220830001204,16.9,1008.9,48,132,10.7,0.6,10215.9
59133,20220830001204,25.9,1025.6,1,267,9.9,0.4,10026.9
59134,20220830001204,2.1,1009.9,97,334,10.7,1.4,10386.0
59321,20220830001204,31.0,1022.9,41,273,5.9,0.9,10180.6
52323,20220830001204,31.3,1023.7,74,282,2.7,0.4,10430.6
52418,20220830001204,29.7,1001.3,20,61,3.1,0.4,10058.1
52424,20220830001204,7.4,1003.1,54,301,5.1,0.1,10308.9
52436,20220830001204,26.4,1010.3,33,295,6.7,0.4,10436.8
52446,20220830001204,29.5,1012.1,89,147,0.6,0.5,10124.0
52447,20220830001204,31.9,1010.2,98,31,1.7,0.8,10002.2
52533,20220830001204,22.6,1026.0,46,192,3.7,1.4,10095.8
52546,20220830001204,29.6,1001.7,62,162,0.0,1.3,10270.1
52652,20220830001204,20.9,1019.9,71,117,11.2,1.1,10186.1
52661,20220830001204,26.0,1006.2,67,255,5.4,1.1,10056.7
52674,20220830001204,33.9,1024.2,97,95,2.4,0.1,10085.3
52679,20220830001204,5.6,1006.9,54,73,9.6,0.6,10188.9
52681,20220830001204,17.8,1011.1,86,207,13.2,1.5,10329.8
52787,20220830001204,3.8,1025.8,65,17,14.1,0.3,10096.6
52797,20220830001204,17.2,1002.1,5,341,8.0,0.4,10408.1
52884,20220830001204,2.8,1013.3,9,120,8.9,1.0,10112.5
52895,20220830001204,15.9,1024.5,34,85,14.4,0.2,10446.3
52983,20220830001204,17.7,1014.3,73,123,9.6,0.5,10000.3
52984,20220830001204,13.9,1025.5,67,357,11.8,1.4,10425.4
52986,20220830001204,8.6,1005.7,59,348,6.7,0.3,10427.0
52996,20220830001204,13.9,1015.6,7,26,6.1,0.4,10463.0
53821,20220830001204,12.4,1013.7,89,354,9.0,1.3,10449.8
53915,20220830001204,30.8,1016.7,3,348,7.4,0.0,10388.3
53923,20220830001204,2.7,1013.0,28,345,6.4,1.0,10483.4
56074,20220830001204,33.6,1004.5,87,221,3.6,0.8,10169.6
56080,20220830001204,15.1,1006.4,72,265,9.7,1.2,10026.6
56093,20220830001204,28.7,1006.0,53,208,7.7,0.3,10281.7
56096,20220830001204,10.6,1010.0,79,5,11.8,0.2,10271.9
57014,20220830001204,23.6,1000.9,49,66,14.9,1.4,10433.7
57996,20220830001204,28.1,1002.4,48,34,11.3,0.6,10370.2
59072,20220830001204,25.0,1005.2,83,322,0.7,1.5,10054.9
59082,20220830001204,21.7,1001.7,44,339,1.7,0.6,10303.1
59087,20220830001204,21.3,1019.3,81,250,2.4,0.4,10292.9
59088,20220830001204,19.1,1025.0,97,200,9.4,1.1,10348.9
59096,20220830001204,31.6,1011.3,87,252,4.8,0.4,10091.1
59097,20220830001204,19.7,1000.7,9,334,0.1,0.8,10191.0
59107,20220830001204,14.5,1011.9,23,266,10.4,0.2,10357.0
59116,20220830001204,0.5,1021.3,66,23,5.0,0.5,10128.8
59117,20220830001204,26.7,1005.6,58,185,11.9,1.5,10091.2
59271,20220830001204,11.7,1008.1,56,117,7.5,0.4,10070.4
59278,20220830001204,1.7,1018.5,9,88,9.4,1.5,10172.3
59280,20220830001204,25.3,1023.5,84,130,2.0,0.8,10127.5
59287,20220830001204,24.7,1003.1,97,206,11.7,0.9,10400.4
59289,20220830001204,6.0,1016.1,54,268,1.9,0.9,10129.5
59293,20220830001204,21.7,1012.2,61,313,14.7,0.0,10210.5
59294,20220830001204,25.1,1002.8,29,243,9.1,1.1,10043.0
59298,20220830001204,18.3,1004.8,59,204,7.6,0.6,10489.5
59303,20220830001204,4.9,1001.9,75,323,1.0,0.8,10270.3
59304,20220830001204,25.7,1014.9,81,266,11.6,1.2,10099.0
59306,20220830001204,28.1,1005.8,74,226,6.6,0.9,10419.2
59310,20220830001204,32.2,1004.8,75,351,13.3,0.8,10330.6
59316,20220830001204,9.2,1026.3,6,4,14.7,0.0,10186.3
59317,20220830001204,18.0,1000.0,32,291,4.9,0.7,10228.5
59324,20220830001204,29.8,1000.9,70,30,1.7,0.6,10253.6
59456,20220830001204,28.5,1010.2,38,203,6.5,1.5,10247.8
59462,20220830001204,13.3,1022.7,22,9,8.5,1.0,10487.4
59478,20220830001204,28.4,1008.5,53,104,2.2,0.3,10241.2
59485,20220830001204,27.0,1021.2,6,10,0.1,1.0,10352.9
59488,20220830001204,22.0,1021.8,9,325,11.5,1.3,10334.0
59493,20220830001204,1.3,1015.5,67,92,5.7,1.5,10368.4
59501,20220830001204,10.9,1018.1,11,59,7.8,0.7,10099.4
59658,20220830001204,7.4,1009.5,12,74,4.7,0.1,10142.1
59663,20220830001204,24.4,1012.3,38,140,11.2,1.4,10031.9
59664,20220830001204,4.5,1013.0,79,174,0.6,0.5,10009.3
59673,20220830001204,10.2,1009.7,45,228,0.0,1.0,10174.6
59754,20220830001204,20.6,1018.4,63,82,7.0,1.0,10451.6
57947,20220830001204,26.2,1000.5,26,30,3.8,0.7,10392.7
57957,20220830001204,23.2,1020.3,21,294,11.0,0.7,10366.6
57958,20220830001204,7.4,1005.9,99,292,7.8,1.4,10265.7
59021,20220830001204,17.2,1002.4,32,90,2.0,0.9,10092.9
59023,20220830001204,2.1,1018.6,5,320,6.6,1.0,10237.3
59027,20220830001204,27.6,1025.9,25,119,1.4,0.5,10070.7
59037,20220830001204,7.6,1024.1,94,23,9.0,0.8,10447.6
59046,20220830001204,25.8,1000.6,68,239,8.5,0.2,10259.2
